GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
Alberta,2022-03,,,,,,,,,
Alberta,2022-04,,,,,,,,,
Alberta,2022-05,,,,,,,,,
Alberta,2022-06,,,,,,,,,
Alberta,2022-07,,,,,,,,,
Alberta,2022-08,,,,,,,,,
Alberta,2022-09,,,,,,,,,
Alberta,2022-10,,,,,,,,,
Alberta,2022-11,,,,,,,,,
Alberta,2022-12,,,,,,,,,
Alberta,2023-01,,,,,,,,,
British Columbia,1976-01,,,,,,,,,
British Columbia,1976-02,,,,,,,,,
British Columbia,1976-03,,,,,,,,,
British Columbia,1976-04,,,,,,,,,
British Columbia,1976-05,,,,,,,,,
British Columbia,1976-06,,,,,,,,,
British Columbia,1976-07,,,,,,,,,
British Columbia,1976-08,,,,,,,,,
British Columbia,1976-09,,,,,,,,,
British Columbia,1976-10,,,,,,,,,
British Columbia,1976-11,,,,,,,,,
British Columbia,1976-12,,,,,,,,,
British Columbia,1977-01,,,,,,,,,
British Columbia,1977-02,,,,,,,,,
British Columbia,1977-03,,,,,,,,,
British Columbia,1977-04,,,,,,,,,
British Columbia,1977-05,,,,,,,,,
British Columbia,1977-06,,,,,,,,,
British Columbia,1977-07,,,,,,,,,
British Columbia,1977-08,,,,,,,,,
British Columbia,1977-09,,,,,,,,,
British Columbia,1977-10,,,,,,,,,
British Columbia,1977-11,,,,,,,,,
British Columbia,1977-12,,,,,,,,,
British Columbia,1978-01,,,,,,,,,
British Columbia,1978-02,,,,,,,,,
British Columbia,1978-03,,,,,,,,,
British Columbia,1978-04,,,,,,,,,
British Columbia,1978-05,,,,,,,,,
British Columbia,1978-06,,,,,,,,,
British Columbia,1978-07,,,,,,,,,
British Columbia,1978-08,,,,,,,,,
British Columbia,1978-09,,,,,,,,,
British Columbia,1978-10,,,,,,,,,
British Columbia,1978-11,,,,,,,,,
British Columbia,1978-12,,,,,,,,,
British Columbia,1979-01,,,,,,,,,
British Columbia,1979-02,,,,,,,,,
British Columbia,1979-03,,,,,,,,,
British Columbia,1979-04,,,,,,,,,
British Columbia,1979-05,,,,,,,,,
British Columbia,1979-06,,,,,,,,,
British Columbia,1979-07,,,,,,,,,
British Columbia,1979-08,,,,,,,,,
British Columbia,1979-09,,,,,,,,,
British Columbia,1979-10,,,,,,,,,
British Columbia,1979-11,,,,,,,,,
British Columbia,1979-12,,,,,,,,,
British Columbia,1980-01,,,,,,,,,
British Columbia,1980-02,,,,,,,,,
British Columbia,1980-03,,,,,,,,,
British Columbia,1980-04,,,,,,,,,
British Columbia,1980-05,,,,,,,,,
British Columbia,1980-06,,,,,,,,,
British Columbia,1980-07,,,,,,,,,
British Columbia,1980-08,,,,,,,,,
British Columbia,1980-09,,,,,,,,,
British Columbia,1980-10,,,,,,,,,
British Columbia,1980-11,,,,,,,,,
British Columbia,1980-12,,,,,,,,,
British Columbia,1981-01,,,,,,,,,
British Columbia,1981-02,,,,,,,,,
British Columbia,1981-03,,,,,,,,,
British Columbia,1981-04,,,,,,,,,
British Columbia,1981-05,,,,,,,,,
British Columbia,1981-06,,,,,,,,,
British Columbia,1981-07,,,,,,,,,
British Columbia,1981-08,,,,,,,,,
British Columbia,1981-09,,,,,,,,,
British Columbia,1981-10,,,,,,,,,
British Columbia,1981-11,,,,,,,,,
British Columbia,1981-12,,,,,,,,,
British Columbia,1982-01,,,,,,,,,
British Columbia,1982-02,,,,,,,,,
British Columbia,1982-03,,,,,,,,,
British Columbia,1982-04,,,,,,,,,
British Columbia,1982-05,,,,,,,,,
British Columbia,1982-06,,,,,,,,,
British Columbia,1982-07,,,,,,,,,
British Columbia,1982-08,,,,,,,,,
British Columbia,1982-09,,,,,,,,,
British Columbia,1982-10,,,,,,,,,
British Columbia,1982-11,,,,,,,,,
British Columbia,1982-12,,,,,,,,,
British Columbia,1983-01,,,,,,,,,
British Columbia,1983-02,,,,,,,,,
British Columbia,1983-03,,,,,,,,,
British Columbia,1983-04,,,,,,,,,
British Columbia,1983-05,,,,,,,,,
British Columbia,1983-06,,,,,,,,,
British Columbia,1983-07,,,,,,,,,
British Columbia,1983-08,,,,,,,,,
British Columbia,1983-09,,,,,,,,,
British Columbia,1983-10,,,,,,,,,
British Columbia,1983-11,,,,,,,,,
British Columbia,1983-12,,,,,,,,,
British Columbia,1984-01,,,,,,,,,
British Columbia,1984-02,,,,,,,,,
British Columbia,1984-03,,,,,,,,,
British Columbia,1984-04,,,,,,,,,
British Columbia,1984-05,,,,,,,,,
British Columbia,1984-06,,,,,,,,,
British Columbia,1984-07,,,,,,,,,
British Columbia,1984-08,,,,,,,,,
British Columbia,1984-09,,,,,,,,,
British Columbia,1984-10,,,,,,,,,
British Columbia,1984-11,,,,,,,,,
British Columbia,1984-12,,,,,,,,,
British Columbia,1985-01,,,,,,,,,
British Columbia,1985-02,,,,,,,,,
British Columbia,1985-03,,,,,,,,,
British Columbia,1985-04,,,,,,,,,
British Columbia,1985-05,,,,,,,,,
British Columbia,1985-06,,,,,,,,,
British Columbia,1985-07,,,,,,,,,
British Columbia,1985-08,,,,,,,,,
British Columbia,1985-09,,,,,,,,,
British Columbia,1985-10,,,,,,,,,
British Columbia,1985-11,,,,,,,,,
British Columbia,1985-12,,,,,,,,,
British Columbia,1986-01,,,,,,,,,
British Columbia,1986-02,,,,,,,,,
British Columbia,1986-03,,,,,,,,,
British Columbia,1986-04,,,,,,,,,
British Columbia,1986-05,,,,,,,,,
British Columbia,1986-06,,,,,,,,,
British Columbia,1986-07,,,,,,,,,
British Columbia,1986-08,,,,,,,,,
British Columbia,1986-09,,,,,,,,,
British Columbia,1986-10,,,,,,,,,
British Columbia,1986-11,,,,,,,,,
British Columbia,1986-12,,,,,,,,,
British Columbia,1987-01,,,,,,,,,
British Columbia,1987-02,,,,,,,,,
British Columbia,1987-03,,,,,,,,,
British Columbia,1987-04,,,,,,,,,
British Columbia,1987-05,,,,,,,,,
British Columbia,1987-06,,,,,,,,,
British Columbia,1987-07,,,,,,,,,
British Columbia,1987-08,,,,,,,,,
British Columbia,1987-09,,,,,,,,,
British Columbia,1987-10,,,,,,,,,
British Columbia,1987-11,,,,,,,,,
British Columbia,1987-12,,,,,,,,,
British Columbia,1988-01,,,,,,,,,
British Columbia,1988-02,,,,,,,,,
British Columbia,1988-03,,,,,,,,,
British Columbia,1988-04,,,,,,,,,
British Columbia,1988-05,,,,,,,,,
British Columbia,1988-06,,,,,,,,,
British Columbia,1988-07,,,,,,,,,
British Columbia,1988-08,,,,,,,,,
